Job Title,Department,Service Area,Annual Salary
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",44356
"Worker II, Fleet",Operation Services,Information & Employee Svcs,44355.64
"Officer I, Enforcement",Transfort / Parking Services,"Planning, Dev & Transportation",44309
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,44200.64
Lab Assistant,Ut Water Quality Services Div,Utility Services,44191.5
"Worker II, Facilities",Operation Services,Information & Employee Svcs,44064.38
Business Support II,Traffic,"Planning, Dev & Transportation",43977.56
"Worker II, Fleet",Operation Services,Information & Employee Svcs,43949.84
Business Support II,Engineering,"Planning, Dev & Transportation",43919.2
Business Support III,Parks,Community Services,43846.82
"Worker II, Facilities",Operation Services,Information & Employee Svcs,43680.26
Business Support I,Operation Services,Information & Employee Svcs,43680
Business Support II,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",43680
"Rep I, Customer Support",Cultural Services,Community Services,43679.88
Water Utility Maint Operator,Ut Collection System Div,Utility Services,43617
Water Utility Maint Operator,Ut Distribution System Div,Utility Services,43617
Water Utility Maint Operator,Ut Collection System Div,Utility Services,43617
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,43617
Water Utility Maint Operator,Ut Drainage System Div,Utility Services,43617
"Rep II, Customer Support",Transfort / Parking Services,"Planning, Dev & Transportation",43451.15
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,43332.93
Library Assistant,Library District,Library District,43305.6
"Operator I, Transportation Ops",Traffic,"Planning, Dev & Transportation",43264
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",43264
"Operator I, Transportation Ops",Streets,"Planning, Dev & Transportation",43264
Business Support II,City Clerk's Office,Executive Services,43244.08
"Rep II, Customer Support",Transfort / Parking Services,"Planning, Dev & Transportation",43238.99
"Rep II, Customer Support",Transfort / Parking Services,"Planning, Dev & Transportation",43238.99
"Worker II, Facilities",Parks,Community Services,43135.89
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",43056
Business Support I,Parks,Community Services,42999.84
"Coordinator, AR / Billing",Utilities Customer Connections,Utility Services,42952
"Technician I, Police Admin",Police Administration,Police Services,42800.44
Library Assistant,Library District,Library District,42744.78
"Technician I, Parks",Parks,Community Services,42736
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,42277.03
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,42277.03
"Worker I, Recreation",Recreation,Community Services,42230.19
Business Support III,Parks,Community Services,42117.46
Business Support II,City Manager's Office,Executive Services,42072.94
"Worker II, Fleet",Operation Services,Information & Employee Svcs,41867.38
Deputy Court Clerk II,Municipal Court,Judicial Services,41782.59
Business Support II,Purchasing,Financial Services,41675.25
Lab Assistant,Ut Water Quality Services Div,Utility Services,41600
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,41245.88
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,41245.88
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,41245.88
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,41245.88
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,41245.88
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,41245.88
"Specialist, Soc Sustainability",Environmental Services,Sustainability Services,41161.38
"Worker I, Facilities",L&P Electric Field Services,Utility Services,41097.41
Lab Assistant,Ut Water Quality Services Div,Utility Services,40873.04
Business Support II,L&P Electric Field Services,Utility Services,40811.92
"Worker I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",40705.6
"Worker II, Cultural Services",Cultural Services,Community Services,40684.98
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",40227.58
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",40130.1
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",40130.1
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",40130.1
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",40130.1
"Worker I, Parks",Parks,Community Services,39690.56
"Worker I, Parks",Parks,Community Services,39690.56
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,39660
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,39659.62
"Rep II, Customer Support",Utilities Customer Connections,Utility Services,39659.62
"Worker I, Facilities",L&P Electric Field Services,Utility Services,39453
"Worker I, Facilities",L&P Electric Field Services,Utility Services,39453
Volunteer Prgm & Internshp Mgr,Library District,Library District,39126.77
Deputy Court Clerk I,Municipal Court,Judicial Services,38900
Deputy Court Clerk I,Municipal Court,Judicial Services,38900
"Lead Rep, Customer Support",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",38791.31
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",38553.56
"Coordinator, Customer Support",L&P Electrical Engineering,Utility Services,38381.61
"Rep I, Customer Support",Recreation,Community Services,38250.41
"Rep I, Customer Support",Recreation,Community Services,38250.41
"Rep I, Customer Support",Recreation,Community Services,38188.8
"Worker I, Parks",Parks,Community Services,38163.58
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",37735.03
"Worker I, Parks",Parks,Community Services,36695.88
"Worker I, Parks",Parks,Community Services,36695.88
Bibliographic Services Clerk,Library District,Library District,36419.73
Business Support III,Environmental Services,Sustainability Services,36403.11
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",35698.49
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",35611.84
Business Support III,Natural Areas,Community Services,35298.64
Legal Assistant,City Attorney's Office,Legal Services,34320
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",34099.21
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",33348.33
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",33348.33
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",33267.39
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",33267.39
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",33186.71
Accounting Clerk,Library District,Library District,33100.08
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32377.02
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32298.5
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32298.5
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32298.5
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32298.5
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32298.44
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32298.44
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32298.44
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32292
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",32214
Library Assistant,Library District,Library District,31806.21
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",31434
Business Support II,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",30019.93
"Officer I, Transportation Ops",Streets,"Planning, Dev & Transportation",29040
"Sr Coordinator, Communications",Utilities Customer Connections,Utility Services,28249.52
"Sr Coordinator, Communications",Utilities Customer Connections,Utility Services,28113.19
"Technician I, Bldg Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",28096.03
Library Assistant,Library District,Library District,27893.95
Library Assistant,Library District,Library District,27617.61
Executive Admin Assistant,City Manager's Office,Executive Services,27040
"Sr Coordinator, Recreation",Recreation,Community Services,26753.74
Business Support III,Social Sustainability,Sustainability Services,26737.1
Court Clerk,Municipal Court,Judicial Services,25702.3
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",25702.3
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",25642.41
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",25630.56
Interlibrary Loan Assistant,Library District,Library District,25415.25
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",25389.82
Library Assistant,Library District,Library District,24935.39
Library Assistant,Library District,Library District,24912.22
"Technician I, Bldg Dev Review",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",24747.01
"Sr Coordinator, Public Engage",Cultural Services,Community Services,24717.49
Answer Center Technician,Library District,Library District,24262.68
Business Support III,Social Sustainability,Sustainability Services,24180
Library Assistant,Library District,Library District,23818.27
Business Support III,Comm. & Public Involvement,Information & Employee Svcs,23795.2
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",23625.99
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",23579.68
Library Assistant,Library District,Library District,23535.2
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",23301.2
Asst Circulation Supervisor,Library District,Library District,22317.29
Asst Circulation Supervisor,Library District,Library District,22317.29
Asst Circulation Supervisor,Library District,Library District,22096.46
Library Assistant,Library District,Library District,22088.78
Deputy Court Clerk II,Municipal Court,Judicial Services,21718.59
Asst Circulation Supervisor,Library District,Library District,21657.09
Library Assistant,Library District,Library District,21577.92
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",21528
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",21528
Library Assistant,Library District,Library District,21445.42
Library Assistant,Library District,Library District,21372.52
Library Assistant,Library District,Library District,21372.52
Business Support I,L&P Electrical Engineering,Utility Services,21205.88
Library Assistant,Library District,Library District,21080.8
Asst Circulation Supervisor,Library District,Library District,21069.53
"Rep I, Customer Support",Cultural Services,Community Services,21032.95
"Operator I, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",20956
Asst Circulation Supervisor,Library District,Library District,20245.83
Answer Center Technician,Library District,Library District,20224.26
Asst Circulation Supervisor,Library District,Library District,19651.58
Asst Circulation Supervisor,Library District,Library District,19083.7
Asst Circulation Supervisor,Library District,Library District,19068.66
Deputy Court Clerk I,Municipal Court,Judicial Services,18988.32
Asst Circulation Supervisor,Library District,Library District,18516.94
Homebound Services Assistant,Library District,Library District,18209.87
Bailiff,Municipal Court,Judicial Services,17846.4
Answer Center Technician,Library District,Library District,16943.5
